Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-1.local) 	03/20/2015 	_x86_64_	(48 CPU)

01:34:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:34:14 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:14 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:14 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:14 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:14 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:14 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:14 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:14 AM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:14 AM   37    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
01:34:14 AM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:14 AM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:14 AM   40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:14 AM   41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:14 AM   42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:14 AM   43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:14 AM   44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:14 AM   45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:14 AM   46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:14 AM   47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:34:14 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:34:15 AM  all    8.34    0.00    0.06    0.00    0.00    0.00    0.00    0.00   91.60
01:34:15 AM    0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:34:15 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:15 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
